metric,version,window,value,unit,source
gate_p10,legacy_shared,1500-1599,0.266115253,fraction,revision4_train_metrics.jsonl
gate_p10,selective_tracking,1500-1599,0.001155274,fraction,selective_train_metrics.jsonl
gate_mean,legacy_shared,1500-1599,0.402962655,fraction,revision4_train_metrics.jsonl
gate_mean,selective_tracking,1500-1599,0.409307557,fraction,selective_train_metrics.jsonl
gate_p90,legacy_shared,1500-1599,0.563724175,fraction,revision4_train_metrics.jsonl
gate_p90,selective_tracking,1500-1599,1.000000000,fraction,selective_train_metrics.jsonl
gate_fraction_lt_0_1,legacy_shared,1500-1599,0.000007629,fraction,revision4_train_metrics.jsonl
gate_fraction_lt_0_1,selective_tracking,1500-1599,0.286615306,fraction,selective_train_metrics.jsonl
gate_fraction_gt_0_9,legacy_shared,1500-1599,0.001190694,fraction,revision4_train_metrics.jsonl
gate_fraction_gt_0_9,selective_tracking,1500-1599,0.182922877,fraction,selective_train_metrics.jsonl
dynamics_saturation,legacy,1500-1599,0.012178091,fraction,revision4_train_metrics.jsonl
dynamics_saturation,selective,1500-1599,0.007418164,fraction,selective_train_metrics.jsonl
tracking_saturation,legacy,1500-1599,0.018287335,fraction,revision4_train_metrics.jsonl
tracking_saturation,selective,1500-1599,0.043414545,fraction,selective_train_metrics.jsonl
candidate_saturation,legacy,1500-1599,0.002657841,fraction,revision4_train_metrics.jsonl
candidate_saturation,selective,1500-1599,0.002224555,fraction,selective_train_metrics.jsonl
candidate_l2,legacy,1500-1599,0.135705114,l2,revision4_train_metrics.jsonl
candidate_l2,selective,1500-1599,0.126401503,l2,selective_train_metrics.jsonl
applied_l2,legacy,1500-1599,0.055118171,l2,revision4_train_metrics.jsonl
applied_l2,selective,1500-1599,0.058029214,l2,selective_train_metrics.jsonl
mean_reward,legacy,1500-1599,54.3516615,return,revision4_train_metrics.jsonl
mean_reward,selective,1500-1599,53.1647685,return,selective_train_metrics.jsonl
